c.c.;Posto;Descrição;C951102;C951104;C951111;C951500;C951501;C951511;C951514;C951530;C951544;C963403;C963411;C963414;C963424;C963425;C964016;C964231;C964416;C968114;C968403;C968450;C968461
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,32;0,32;47,40;0,60;0,32;0,60;0,32;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,40;0,40;0,00;0,40;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110.4;VHET01;TESTE DE TRAJETO                ;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;19,00;0,00;0,00;0,00;0,00
110.4;VHET02;VERIFICACAO E APERTO DO VOLANTE ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,98;0,00;4,98;0,00;0,00;0,00;0,00
110.4;VHET03;TESTE DE ESTANQUIEDADE          ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,60;0,00;3,60;0,00;0,00;0,00;0,00
110.4;VHET04;FUNILARIA E PINTURA             ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,82;0,00;0,00;0,00;0,00;0,00;0,00;25,62;0,00;25,62;0,00;20,82;0,00;0,00
110.4;VHET05;COMPLEMENTACAO DE VEICULOS      ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;60,00;0,00;0,00;0,00;0,00
110.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
121.4;;Falta Cadastrar posto de trabalho;0,00;0,00;10,13;34,98;34,98;50,10;120,06;150,60;150,60;81,90;121,92;121,92;61,92;41,88;121,50;241,50;121,50;161,88;161,88;101,88;61,92
121.4;VHPM01;PRE MONTAGEM BALANCIN/RAHMENKOPF    ;0,00;0,00;0,00;0,00;0,00;0,00;19,74;19,74;0,00;15,14;15,14;15,14;15,14;15,14;9,52;16,10;9,52;0,00;0,00;5,60;5,60
