;;;;;;;;;;;;;;;;;;;
;;;YAMAZUMI;;;;;;;;;;;;;;;;
;;;PROJETO PRODUTIVIDADE 2024;;;;;;;;;;;;;;;;
;Insira os dados para gerar o Yamazumi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Atividade;Classificação;Abastecimento;Passa-disço;Chineleira;5ª Roda;Pneu LD;Pneu LE;Para-lama LD;Para-lama LE;Controle;Elétrica I;Elétrica II;Elétrica III;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5
;Andar com o carrinho do complemento do estribo LD/LE até a pré-montagem, abastecer e voltar para linha;ÑAG;00:00:36;;;;;;;;;;;;;;;;
;Pegar complemento LE, 4 parafusos, 2 pinhieros e a apertadeira elétrica com soquete 10;AGR;00:00:18;;;;;;;;;;;;;;;;
;Andar até o veículo, posicionar e montar o complemento;AGR;00:00:36;;;;;;;;;;;;;;;;
;Voltar no carrinho, pegar complemento LD, 4 parafusos e 2 pinhieros;AGR;00:00:22;;;;;;;;;;;;;;;;
;Andar até o veículo, posicionar e montar o complemento;AGR;00:00:42;;;;;;;;;;;;;;;;
;Voltar ao carrinho e devolver a apertadeira elétrica;ÑAG;00:00:12;;;;;;;;;;;;;;;;
;Pegar o para-lama dianteiro LE, andar o veículo, posicionar;AGR;00:00:22;;;;;;;;;;;;;;;;
;Voltar no carrinho, pegar as apertadeiras elétrica e pneumática e realizar a fixação do para-lama;AGR;00:00:46;;;;;;;;;;;;;;;;
;Voltar ao carrinho e devolver as apertadeiras;ÑAG;00:00:12;;;;;;;;;;;;;;;;
;Andar até região do tanque de combustível e do arla, retirar as tampas provisórias e preparar a tubulação da sangria e descartar as tampas no lixo;ÑAG;00:00:34;;;;;;;;;;;;;;;;
;Andar até a máquina de abastecimento de fluídos, pegar o adaptador, voltar ao veículo, tirar as tampas do reservatório de arrefecimento e do ar condicionado e por rosquear o adaptador;ÑAG;00:00:42;;;;;;;;;;;;;;;;
;Posicionar as manguerias de abastecimento do: arrefecimento, ar condicionado, diesel e arla e liberar o processo de abastecimento;AGR;00:01:30;;;;;;;;;;;;;;;;
;Aguardar processo de abastecimento completo do arrefecimento e ar condicionado;ÑAG;00:00:45;;;;;;;;;;;;;;;;
;Desacoplar as manguerias e devolver-las para a posicão inicial;ÑAG;00:00:25;;;;;;;;;;;;;;;;
;Até o carrinho da régua frontal e voltar ao veículo;ÑAG;00:00:12;;;;;;;;;;;;;;;;
;Posicionar a régua e fixar os parafusos;AGR;00:00:18;;;;;;;;;;;;;;;;
;Verificar se o abastecimento do diesel e arla foram finalizados;ÑAG;00:00:12;;;;;;;;;;;;;;;;
;Desacoplar as manguerias, devolver-las para a posicão inicial e posicionar a tubuluação da sangria na bóia do tanque;AGR;00:00:21;;;;;;;;;;;;;;;;
;Pegar a tampa do arla e montar no veículo;ÑAG;00:00:10;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Andar até a prateleira;ÑAG;;00:00:07;;;;;;;;;;;;;;;
;Abastecer a caixa de tomada reboque;ÑAG;;00:00:42;;;;;;;;;;;;;;;
;Pegar um modelo de cada tomada, 02 tampão, 02 porcas, cinta plástica e 03 máquinas;AGR;;00:00:22;;;;;;;;;;;;;;;
;Andar até o veículo;ÑAG;;00:00:10;;;;;;;;;;;;;;;
;Colocar o materal e as apertadeiras em cima do veículo;AGR;;00:00:13;;;;;;;;;;;;;;;
;Abrir a porta esquerda, colocar 01 tampão dentro do revestimento da porta;ÑAG;;00:00:07;;;;;;;;;;;;;;;
;Andar até o carrinho da chapa do passa-disço;ÑAG;;00:00:08;;;;;;;;;;;;;;;
;Pegar 01 chapa;AGR;;00:00:31;;;;;;;;;;;;;;;
;Andar até o veiculo;ÑAG;;00:00:08;;;;;;;;;;;;;;;
;Subir no chassi;AGR;;00:00:18;;;;;;;;;;;;;;;
;Montar chapa, fazer reaperto de 04 parafusos e 02 porcas;AGR;;00:01:11;;;;;;;;;;;;;;;
;Fazer amarração da sobra do chicote;AGR;;00:02:59;;;;;;;;;;;;;;;
;Soltar 02 parafusos da lanterna do farol de serviço;ÑAG;;00:00:51;;;;;;;;;;;;;;;
;Fazer a conexão dos chicotes da lanterna;AGR;;00:01:07;;;;;;;;;;;;;;;
;Fazer a montagem das tomadas reboque;AGR;;00:00:59;;;;;;;;;;;;;;;
;Pegar 01 tampão e colocar na parede traseira;AGR;;00:00:22;;;;;;;;;;;;;;;
;Descer do veículo e retornar ao carrinho;AGR;;00:00:30;;;;;;;;;;;;;;;
;Devolver as apertadeiras elétricas;ÑAG;;00:00:13;;;;;;;;;;;;;;;
;Pegar dispositivo, 01 macete, 04 tampões;AGR;;00:00:28;;;;;;;;;;;;;;;
;Andar até o veículo;ÑAG;;00:00:05;;;;;;;;;;;;;;;
;Posicionar tampão e encaixar;AGR;;00:00:48;;;;;;;;;;;;;;;
;Andar até o carrinho, devolver o dispositivo;ÑAG;;00:00:13;;;;;;;;;;;;;;;
;Pegar o carrinho da chineleira;ÑAG;;;00:00:04;;;;;;;;;;;;;;
;Andar até o mercado;ÑAG;;;00:00:16;;;;;;;;;;;;;;
