modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_0,30A,1,0.0,253.0,330.0,583.0,253.0
Accelo,Accelo_0,31A,1,0.0,316.0,583.0,899.0,316.0
Accelo,Accelo_1,30A,1,0.0,253.0,660.0,913.0,253.0
Accelo,Accelo_1,31A,1,0.0,316.0,913.0,1229.0,316.0
Accelo,Accelo_0,32A,1,0.0,354.0,899.0,1253.0,354.0
Atego quinta roda,Atego quinta roda_2,30B,2,0.0,326.0,990.0,1316.0,326.0
Accelo,Accelo_1,32A,1,24.0,354.0,1253.0,1607.0,354.0
Atego,Atego_3,30A,1,0.0,314.0,1320.0,1634.0,314.0
Atego quinta roda,Atego quinta roda_2,31B,2,0.0,330.0,1316.0,1646.0,330.0
Accelo,Accelo_0,32C,1,0.0,561.0,1253.0,1814.0,561.0
Atego,Atego_3,31A,1,0.0,314.0,1634.0,1948.0,314.0
Accelo,Accelo_0,33A,1,0.0,369.0,1814.0,2183.0,369.0
Atego quinta roda,Atego quinta roda_2,32B,2,0.0,557.0,1646.0,2203.0,557.0
Atego,Atego_3,32A,1,0.0,414.0,1948.0,2362.0,414.0
Accelo,Accelo_1,32C,1,207.0,561.0,1814.0,2375.0,561.0
Actros,Actros_4,30B,2,0.0,752.0,1650.0,2402.0,752.0
Atego quinta roda,Atego quinta roda_5,30B,2,0.0,326.0,2402.0,2728.0,326.0
Accelo,Accelo_1,33A,1,0.0,369.0,2375.0,2744.0,369.0
Atego quinta roda,Atego quinta roda_2,32D,2,0.0,588.0,2203.0,2791.0,588.0
Accelo,Accelo_0,34A,1,0.0,671.0,2183.0,2854.0,671.0
Atego,Atego_3,32C,1,13.0,544.0,2375.0,2919.0,544.0
Actros,Actros_4,31B,2,0.0,555.0,2402.0,2957.0,555.0
Atego (ATP),Atego (ATP)_6,30A,1,0.0,326.0,2732.0,3058.0,326.0
Atego quinta roda,Atego quinta roda_2,33B,2,0.0,376.0,2791.0,3167.0,376.0
Atego quinta roda,Atego quinta roda_5,31B,2,229.0,330.0,2957.0,3287.0,330.0
Atego,Atego_3,33A,1,0.0,428.0,2919.0,3347.0,428.0
Atego,Atego_7,30A,1,0.0,314.0,3062.0,3376.0,314.0
Atego (ATP),Atego (ATP)_6,31A,1,0.0,330.0,3058.0,3388.0,330.0
Accelo,Accelo_0,38,1,0.0,633.0,2854.0,3487.0,633.0
Accelo,Accelo_1,34A,1,110.0,671.0,2854.0,3525.0,671.0
Atego quinta roda,Atego quinta roda_2,34B,2,0.0,395.0,3167.0,3562.0,395.0
Atego quinta roda,Atego quinta roda_2,39,2,0.0,120.0,3562.0,3682.0,120.0
Atego,Atego_7,31A,1,12.0,314.0,3388.0,3702.0,314.0
Atego,Atego_8,30A,1,0.0,314.0,3392.0,3706.0,314.0
Actros,Actros_4,32B,2,0.0,965.0,2957.0,3922.0,965.0
Accelo,Accelo_9,30A,1,0.0,253.0,3722.0,3975.0,253.0
Atego,Atego_8,31A,1,0.0,314.0,3706.0,4020.0,314.0
Atego (ATP),Atego (ATP)_6,32A,1,0.0,677.0,3388.0,4065.0,677.0
