modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Accelo,Accelo_2,30A,990.0,1243.0,253.0,1
Accelo,Accelo_0,32A,899.0,1253.0,354.0,1
Actros,Actros_1,30B,660.0,1412.0,752.0,2
Accelo,Accelo_2,31A,1243.0,1559.0,316.0,1
Accelo,Accelo_2,32A,1559.0,1913.0,354.0,1
Accelo,Accelo_0,32C,1253.0,1966.0,713.0,1
Actros,Actros_1,31B,1412.0,1967.0,555.0,2
Accelo,Accelo_0,33A,1966.0,2335.0,369.0,1
Accelo,Accelo_6,30A,2638.0,2891.0,253.0,1
Actros,Actros_1,32B,1967.0,2932.0,965.0,2
Actros,Actros_4,32C,1320.0,2954.0,1634.0,1
Accelo,Accelo_6,31A,2891.0,3207.0,316.0,1
Accelo,Accelo_0,34A,2335.0,3271.0,936.0,1
Atego,Atego_7,30B,2968.0,3282.0,314.0,2
Actros,Actros_4,33A,2954.0,3361.0,407.0,1
Accelo,Accelo_6,32A,3207.0,3561.0,354.0,1
Atego,Atego_7,31B,3282.0,3596.0,314.0,2
Accelo,Accelo_2,32C,1913.0,3667.0,1754.0,1
Actros,Actros_4,34A,3361.0,3830.0,469.0,1
Atego,Atego_7,32B,3596.0,3890.0,294.0,2
Accelo,Accelo_0,38,3271.0,3904.0,633.0,1
Actros,Actros_1,32D,2932.0,3920.0,988.0,2
Accelo,Accelo_2,33A,3667.0,4036.0,369.0,1
Atego,Atego_7,32D,3890.0,4502.0,612.0,2
Arocs,Arocs_5,32C,2308.0,4655.0,2347.0,1
Accelo,Accelo_2,34A,4036.0,4972.0,936.0,1
Actros,Actros_1,33B,3920.0,5035.0,1115.0,2
Arocs,Arocs_5,33A,4655.0,5062.0,407.0,1
Arocs,Arocs_5,34A,5062.0,5531.0,469.0,1
Atego,Atego_7,33B,4502.0,5583.0,1081.0,2
Accelo,Accelo_2,38,4972.0,5605.0,633.0,1
Arocs,Arocs_9,32C,3298.0,5643.0,2345.0,1
Accelo,Accelo_19,30A,5604.0,5857.0,253.0,1
Arocs,Arocs_9,33A,5643.0,6050.0,407.0,1
Accelo,Accelo_19,31A,5857.0,6173.0,316.0,1
Accelo,Accelo_6,32C,3561.0,6356.0,2795.0,1
Accelo,Accelo_21,30A,6264.0,6517.0,253.0,1
Arocs,Arocs_9,34A,6050.0,6519.0,469.0,1
Accelo,Accelo_19,32A,6173.0,6527.0,354.0,1
Arocs,Arocs_20,30B,5934.0,6686.0,752.0,2
Accelo,Accelo_6,33A,6356.0,6725.0,369.0,1
Accelo,Accelo_21,31A,6517.0,6833.0,316.0,1
Accelo,Accelo_21,32A,6833.0,7187.0,354.0,1
Arocs,Arocs_20,31B,6686.0,7241.0,555.0,2
Actros,Actros_16,32C,4286.0,7344.0,3058.0,1
Accelo,Accelo_6,34A,6725.0,7661.0,936.0,1
Actros,Actros_16,33A,7344.0,7751.0,407.0,1
Actros,Actros_1,34B,5035.0,7812.0,2777.0,2
Accelo,Accelo_31,30A,7912.0,8165.0,253.0,1
Arocs,Arocs_20,32B,7241.0,8206.0,965.0,2
Actros,Actros_16,34A,7751.0,8220.0,469.0,1
Accelo,Accelo_6,38,7661.0,8294.0,633.0,1
Actros,Actros_17,32C,5274.0,8332.0,3058.0,1
Accelo,Accelo_31,31A,8165.0,8481.0,316.0,1
Actros,Actros_1,39,7812.0,8520.0,708.0,2
Atego,Atego_32,30B,8242.0,8556.0,314.0,2
Actros,Actros_17,33A,8332.0,8739.0,407.0,1
Accelo,Accelo_31,32A,8481.0,8835.0,354.0,1
Atego,Atego_32,31B,8556.0,8870.0,314.0,2
Atego (ATP),Atego (ATP)_33,30A,8572.0,8898.0,326.0,1
Atego,Atego_7,34B,5583.0,9005.333333333334,3422.333333333334,2
Accelo,Accelo_19,32C,6527.0,9045.0,2518.0,1
Atego,Atego_32,32B,8870.0,9164.0,294.0,2
Arocs,Arocs_20,32D,8206.0,9194.0,988.0,2
Actros,Actros_17,34A,8739.0,9208.0,469.0,1
Atego (ATP),Atego (ATP)_33,31A,8898.0,9228.0,330.0,1
Accelo,Accelo_19,33A,9045.0,9414.0,369.0,1
Actros,Actros_35,30B,8902.0,9654.0,752.0,2
Atego,Atego_32,32D,9164.0,9776.0,612.0,2
Accelo,Accelo_37,30A,9562.0,9815.0,253.0,1
Atego (ATP),Atego (ATP)_33,32A,9228.0,9905.0,677.0,1
Atego,Atego_7,39,9005.333333333334,9910.666666666668,905.3333333333339,2
Actros,Actros_23,32C,6594.0,10033.0,3439.0,1
Accelo,Accelo_37,31A,9815.0,10131.0,316.0,1
Arocs,Arocs_20,33B,9194.0,10183.666666666666,989.6666666666661,2
Actros,Actros_35,31B,9654.0,10209.0,555.0,2
Accelo,Accelo_19,34A,9414.0,10350.0,936.0,1
Actros,Actros_23,33A,10033.0,10440.0,407.0,1
Accelo,Accelo_37,32A,10131.0,10485.0,354.0,1
Actros,Actros_38,30B,9892.0,10644.0,752.0,2
Atego,Atego_32,33B,9776.0,10731.666666666666,955.6666666666661,2
Accelo,Accelo_21,32C,7187.0,10746.0,3559.0,1
Actros,Actros_23,34A,10440.0,10909.0,469.0,1
Accelo,Accelo_19,38,10350.0,10983.0,633.0,1
Accelo,Accelo_21,33A,10746.0,11115.0,369.0,1
Actros,Actros_35,32B,10209.0,11174.0,965.0,2
Actros,Actros_38,31B,10644.0,11199.0,555.0,2
Arocs,Arocs_30,32C,7582.0,11734.0,4152.0,1
Accelo,Accelo_21,34A,11115.0,12051.0,936.0,1
Arocs,Arocs_30,33A,11734.0,12141.0,407.0,1
Actros,Actros_35,32D,11174.0,12162.0,988.0,2
Actros,Actros_38,32B,11199.0,12164.0,965.0,2
Accelo,Accelo_31,32C,8835.0,12447.0,3612.0,1
Arocs,Arocs_20,34B,10183.666666666666,12595.333333333332,2411.666666666666,2
Arocs,Arocs_30,34A,12141.0,12610.0,469.0,1
Accelo,Accelo_21,38,12051.0,12684.0,633.0,1
Accelo,Accelo_31,33A,12447.0,12816.0,369.0,1
Atego,Atego_47,30A,12528.0,12842.0,314.0,1
Accelo,Accelo_48,30B,12858.0,13111.0,253.0,2
Actros,Actros_38,32D,12164.0,13152.0,988.0,2
Atego,Atego_47,31A,12842.0,13156.0,314.0,1
Arocs,Arocs_20,39,12595.333333333332,13177.999999999998,582.6666666666661,2
Actros,Actros_35,33B,12162.0,13277.0,1115.0,2
Accelo,Accelo_48,31B,13111.0,13427.0,316.0,2
Actros,Actros_36,32C,9232.0,13435.0,4203.0,1
Atego,Atego_47,32A,13156.0,13570.0,414.0,1
Accelo,Accelo_48,32B,13427.0,13662.0,235.0,2
Accelo,Accelo_31,34A,12816.0,13752.0,936.0,1
Accelo,Accelo_55,30A,13518.0,13771.0,253.0,1
Atego,Atego_32,34B,10731.666666666666,13788.666666666666,3057.0,2
Actros,Actros_36,33A,13435.0,13842.0,407.0,1
Accelo,Accelo_55,31A,13771.0,14087.0,316.0,1
Accelo,Accelo_56,30B,13848.0,14101.0,253.0,2
Accelo,Accelo_48,32D,13662.0,14256.0,594.0,2
Actros,Actros_36,34A,13842.0,14311.0,469.0,1
Accelo,Accelo_31,38,13752.0,14385.0,633.0,1
Actros,Actros_38,33B,13152.0,14392.0,1240.0,2
Accelo,Accelo_56,31B,14101.0,14417.0,316.0,2
Accelo,Accelo_55,32A,14087.0,14441.0,354.0,1
Accelo,Accelo_56,32B,14417.0,14652.0,235.0,2
Atego,Atego_32,39,13788.666666666666,14694.0,905.3333333333339,2
Atego,Atego_60,30A,14508.0,14822.0,314.0,1
Accelo,Accelo_48,33B,14256.0,14880.0,624.0,2
