modelo,nome,posto,entrada,saida,duracao,perna
Atego,Atego_1,30A,330.0,644.0,314.0,1
Atego,Atego_1,31A,644.0,958.0,314.0,1
Accelo,Accelo_3,30A,990.0,1243.0,253.0,1
Arocs,Arocs_2,30B,660.0,1412.0,752.0,2
Accelo,Accelo_3,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_4,30A,1320.0,1646.0,326.0,1
Arocs,Arocs_2,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_4,31A,1646.0,1976.0,330.0,1
Atego (ATP),Atego (ATP)_5,30A,1650.0,1976.0,326.0,1
Atego,Atego_1,32A,958.0,2092.0,1134.0,1
Atego,Atego_6,30A,1980.0,2294.0,314.0,1
Atego (ATP),Atego (ATP)_5,31A,1976.0,2306.0,330.0,1
Atego,Atego_6,31A,2294.0,2620.0,326.0,1
Atego,Atego_10,30A,2310.0,2624.0,314.0,1
Arocs,Arocs_2,32B,1967.0,2932.0,965.0,2
Atego,Atego_10,31A,2624.0,2938.0,314.0,1
Atego (ATP),Atego (ATP)_11,30A,2640.0,2966.0,326.0,1
Accelo,Accelo_3,32A,1559.0,3160.0,1601.0,1
Atego (ATP),Atego (ATP)_11,31A,2966.0,3296.0,330.0,1
Atego,Atego_1,32C,2092.0,3671.5,1579.5,1
Arocs,Arocs_12,30B,2970.0,3722.0,752.0,2
Arocs,Arocs_2,32D,2932.0,3920.0,988.0,2
Arocs,Arocs_12,31B,3722.0,4277.0,555.0,2
Atego,Atego_15,30A,4052.0,4366.0,314.0,1
Actros,Actros_14,30B,3722.0,4474.0,752.0,2
Atego (ATP),Atego (ATP)_4,32A,1976.0,4557.0,2581.0,1
Accelo,Accelo_16,30A,4382.0,4635.0,253.0,1
Atego,Atego_15,31A,4366.0,4680.0,314.0,1
Accelo,Accelo_16,31A,4635.0,4996.0,361.0,1
Actros,Actros_14,31B,4474.0,5029.0,555.0,2
Arocs,Arocs_12,32B,4277.0,5242.0,965.0,2
Accelo,Accelo_3,32C,3160.0,5250.5,2090.5,1
Atego,Atego_19,30A,5042.0,5356.0,314.0,1
Atego,Atego_1,33A,3671.5,5435.5,1764.0,1
Actros,Actros_18,30B,4712.0,5464.0,752.0,2
Atego,Atego_19,31A,5356.0,5670.0,314.0,1
Atego,Atego_20,30A,5372.0,5686.0,314.0,1
Atego (ATP),Atego (ATP)_5,32A,2306.0,5954.0,3648.0,1
Atego,Atego_20,31A,5686.0,6000.0,314.0,1
Actros,Actros_18,31B,5464.0,6019.0,555.0,2
Atego (ATP),Atego (ATP)_21,30A,5702.0,6028.0,326.0,1
Actros,Actros_14,32B,5029.0,6207.0,1178.0,2
Arocs,Arocs_12,32D,5242.0,6230.0,988.0,2
Accelo,Accelo_23,30A,6032.0,6285.0,253.0,1
Atego (ATP),Atego (ATP)_21,31A,6028.0,6358.0,330.0,1
Accelo,Accelo_23,31A,6285.0,6674.0,389.0,1
Arocs,Arocs_2,33B,3920.0,6889.0,2969.0,2
Atego,Atego_1,34A,5435.5,6902.0,1466.5,1
Accelo,Accelo_3,33A,5250.5,7018.5,1768.0,1
Atego,Atego_6,32A,2620.0,7088.0,4468.0,1
Actros,Actros_24,30B,6362.0,7114.0,752.0,2
Actros,Actros_18,32B,6019.0,7172.0,1153.0,2
Actros,Actros_14,32D,6207.0,7218.0,1011.0,2
Atego (ATP),Atego (ATP)_4,32C,4557.0,7618.0,3061.0,1
Actros,Actros_24,31B,7114.0,7669.0,555.0,2
Atego,Atego_26,30A,7444.0,7758.0,314.0,1
Actros,Actros_25,30B,7114.0,7866.0,752.0,2
Atego,Atego_1,38,6902.0,7923.0,1021.0,1
Atego,Atego_26,31A,7758.0,8072.0,314.0,1
Actros,Actros_18,32D,7172.0,8206.0,1034.0,2
Atego,Atego_10,32A,2938.0,8222.0,5284.0,1
Actros,Actros_25,31B,7866.0,8421.0,555.0,2
Accelo,Accelo_3,34A,7018.5,8494.5,1476.0,1
Atego,Atego_28,30A,8196.0,8510.0,314.0,1
Arocs,Arocs_27,30B,7866.0,8618.0,752.0,2
Actros,Actros_24,32B,7669.0,8634.0,965.0,2
Atego,Atego_28,31A,8510.0,8824.0,314.0,1
Atego,Atego_29,30A,8526.0,8840.0,314.0,1
Accelo,Accelo_30,30A,8856.0,9109.0,253.0,1
Atego,Atego_29,31A,8840.0,9154.0,314.0,1
Arocs,Arocs_27,31B,8618.0,9173.0,555.0,2
Atego (ATP),Atego (ATP)_4,33A,7618.0,9226.0,1608.0,1
Accelo,Accelo_30,31A,9109.0,9470.0,361.0,1
Atego,Atego_33,30A,9186.0,9500.0,314.0,1
Accelo,Accelo_3,38,8494.5,9515.5,1021.0,1
Actros,Actros_25,32B,8421.0,9599.0,1178.0,2
Atego (ATP),Atego (ATP)_11,32A,3296.0,9619.0,6323.0,1
Actros,Actros_24,32D,8634.0,9622.0,988.0,2
Atego,Atego_33,31A,9500.0,9814.0,314.0,1
Arocs,Arocs_12,33B,6230.0,9858.0,3628.0,2
Atego (ATP),Atego (ATP)_5,32C,5954.0,9985.5,4031.5,1
Atego,Atego_37,30A,9846.0,10160.0,314.0,1
Actros,Actros_36,30B,9516.0,10268.0,752.0,2
Atego,Atego_37,31A,10160.0,10474.0,314.0,1
Arocs,Arocs_27,32B,9173.0,10564.0,1391.0,2
Actros,Actros_25,32D,9599.0,10610.0,1011.0,2
Atego (ATP),Atego (ATP)_4,34A,9226.0,10700.5,1474.5,1
Atego,Atego_15,32A,4680.0,10753.0,6073.0,1
Actros,Actros_36,31B,10268.0,10823.0,555.0,2
Atego (ATP),Atego (ATP)_40,30A,10598.0,10924.0,326.0,1
Actros,Actros_39,30B,10268.0,11020.0,752.0,2
Atego (ATP),Atego (ATP)_40,31A,10924.0,11254.0,330.0,1
Atego,Atego_6,32C,7088.0,11565.0,4477.0,1
Actros,Actros_39,31B,11020.0,11575.0,555.0,2
Atego (ATP),Atego (ATP)_5,33A,9985.5,11593.5,1608.0,1
Arocs,Arocs_27,32D,10564.0,11598.0,1034.0,2
Atego (ATP),Atego (ATP)_4,38,10700.5,11721.5,1021.0,1
Actros,Actros_44,30B,11020.0,11772.0,752.0,2
Actros,Actros_36,32B,10823.0,11788.0,965.0,2
Accelo,Accelo_16,32A,4996.0,11821.0,6825.0,1
Arocs,Arocs_2,34B,6889.0,11826.0,4937.0,2
Actros,Actros_44,31B,11772.0,12327.0,555.0,2
Accelo,Accelo_47,30A,12102.0,12355.0,253.0,1
Actros,Actros_46,30B,11772.0,12524.0,752.0,2
Accelo,Accelo_47,31A,12355.0,12671.0,316.0,1
Atego,Atego_48,30A,12432.0,12746.0,314.0,1
Actros,Actros_39,32B,11575.0,12753.0,1178.0,2
Actros,Actros_36,32D,11788.0,12776.0,988.0,2
Atego,Atego_19,32A,5670.0,12955.0,7285.0,1
Accelo,Accelo_51,30A,12762.0,13015.0,253.0,1
Atego,Atego_48,31A,12746.0,13060.0,314.0,1
Atego (ATP),Atego (ATP)_5,34A,11593.5,13068.0,1474.5,1
Actros,Actros_46,31B,12524.0,13079.0,555.0,2
Atego,Atego_10,32C,8222.0,13144.5,4922.5,1
Actros,Actros_14,33B,7218.0,13203.0,5985.0,2
Atego,Atego_6,33A,11565.0,13357.5,1792.5,1
Accelo,Accelo_51,31A,13015.0,13376.0,361.0,1
Arocs,Arocs_2,39,11826.0,13574.0,1748.0,2
Accelo,Accelo_55,30A,13422.0,13675.0,253.0,1
Actros,Actros_44,32B,12327.0,13718.0,1391.0,2
Actros,Actros_39,32D,12753.0,13764.0,1011.0,2
Actros,Actros_54,30B,13092.0,13844.0,752.0,2
Accelo,Accelo_55,31A,13675.0,13991.0,316.0,1
Accelo,Accelo_57,30A,13752.0,14005.0,253.0,1
Atego,Atego_20,32A,6000.0,14089.0,8089.0,1
Atego (ATP),Atego (ATP)_5,38,13068.0,14089.0,1021.0,1
Accelo,Accelo_57,31A,14005.0,14321.0,316.0,1
Actros,Actros_54,31B,13844.0,14399.0,555.0,2
Atego (ATP),Atego (ATP)_58,30A,14082.0,14408.0,326.0,1
Actros,Actros_46,32B,13079.0,14683.0,1604.0,2
Atego (ATP),Atego (ATP)_58,31A,14408.0,14738.0,330.0,1
Actros,Actros_44,32D,13718.0,14752.0,1034.0,2
Atego,Atego_6,34A,13357.5,14824.0,1466.5,1
Accelo,Accelo_60,30A,14742.0,14995.0,253.0,1
