modelo,nome,posto,entrada,saida,duracao,perna
Actros,Actros_0,30B,330.0,1082.0,752.0,2
Atego (ATP),Atego (ATP)_1,30B,1082.0,1408.0,326.0,2
Actros,Actros_0,31B,1082.0,1637.0,555.0,2
Atego (ATP),Atego (ATP)_2,30B,1412.0,1738.0,326.0,2
Atego (ATP),Atego (ATP)_1,31B,1408.0,1967.0,559.0,2
Atego (ATP),Atego (ATP)_3,30B,1742.0,2068.0,326.0,2
Atego (ATP),Atego (ATP)_2,31B,1738.0,2297.0,559.0,2
Accelo,Accelo_4,30A,2072.0,2325.0,253.0,1
Actros,Actros_0,32B,1637.0,2602.0,965.0,2
Atego (ATP),Atego (ATP)_3,31B,2068.0,2627.0,559.0,2
Accelo,Accelo_4,31A,2325.0,2641.0,316.0,1
Accelo,Accelo_7,30A,2402.0,2655.0,253.0,1
Accelo,Accelo_7,31A,2655.0,2971.0,316.0,1
Atego,Atego_9,30A,2732.0,3046.0,314.0,1
Atego,Atego_9,31A,3046.0,3360.0,314.0,1
Atego,Atego_10,30A,3062.0,3376.0,314.0,1
Atego,Atego_10,31A,3376.0,3690.0,314.0,1
Atego,Atego_11,30A,3392.0,3706.0,314.0,1
Accelo,Accelo_4,32A,2641.0,3709.0,1068.0,1
Atego (ATP),Atego (ATP)_1,32B,1967.0,3879.0,1912.0,2
Accelo,Accelo_12,30A,3722.0,3975.0,253.0,1
Atego,Atego_11,31A,3706.0,4020.0,314.0,1
Accelo,Accelo_13,30A,4052.0,4305.0,253.0,1
Accelo,Accelo_12,31A,3975.0,4336.0,361.0,1
Accelo,Accelo_14,30A,4382.0,4635.0,253.0,1
Accelo,Accelo_13,31A,4305.0,4652.0,347.0,1
Accelo,Accelo_7,32A,2971.0,4777.0,1806.0,1
Accelo,Accelo_14,31A,4635.0,4968.0,333.0,1
Actros,Actros_0,33B,2602.0,5133.0,2531.0,2
Atego (ATP),Atego (ATP)_2,32B,2297.0,5156.0,2859.0,2
Accelo,Accelo_4,32C,3709.0,5288.0,1579.0,1
Accelo,Accelo_16,30A,5042.0,5295.0,253.0,1
Actros,Actros_15,30B,4712.0,5464.0,752.0,2
Accelo,Accelo_16,31A,5295.0,5611.0,316.0,1
Accelo,Accelo_19,30A,5372.0,5625.0,253.0,1
Atego,Atego_9,32A,3360.0,5911.0,2551.0,1
Accelo,Accelo_19,31A,5625.0,5941.0,316.0,1
Atego (ATP),Atego (ATP)_1,32D,3879.0,5965.0,2086.0,2
Actros,Actros_15,31B,5464.0,6019.0,555.0,2
Atego (ATP),Atego (ATP)_3,32B,2627.0,6433.0,3806.0,2
Actros,Actros_20,30B,5702.0,6454.0,752.0,2
Accelo,Accelo_7,32C,4777.0,6867.0,2090.0,1
Accelo,Accelo_4,33A,5288.0,6871.0,1583.0,1
Actros,Actros_20,31B,6454.0,7009.0,555.0,2
Atego,Atego_10,32A,3690.0,7045.0,3355.0,1
Actros,Actros_21,30B,6454.0,7206.0,752.0,2
Actros,Actros_15,32B,6019.0,7398.0,1379.0,2
Atego (ATP),Atego (ATP)_1,33B,5965.0,7453.0,1488.0,2
Atego (ATP),Atego (ATP)_22,30B,7206.0,7532.0,326.0,2
Actros,Actros_21,31B,7206.0,7761.0,555.0,2
Accelo,Accelo_23,30A,7536.0,7789.0,253.0,1
Atego (ATP),Atego (ATP)_2,32D,5156.0,8051.0,2895.0,2
Atego (ATP),Atego (ATP)_22,31B,7532.0,8091.0,559.0,2
Accelo,Accelo_23,31A,7789.0,8105.0,316.0,1
Atego,Atego_11,32A,4020.0,8179.0,4159.0,1
Atego (ATP),Atego (ATP)_24,30B,7866.0,8192.0,326.0,2
Accelo,Accelo_4,34A,6871.0,8347.0,1476.0,1
Actros,Actros_20,32B,7009.0,8363.0,1354.0,2
Atego,Atego_9,32C,5911.0,8446.5,2535.5,1
Accelo,Accelo_25,30A,8196.0,8449.0,253.0,1
Accelo,Accelo_7,33A,6867.0,8454.0,1587.0,1
Atego (ATP),Atego (ATP)_24,31B,8192.0,8522.0,330.0,2
Accelo,Accelo_25,31A,8449.0,8765.0,316.0,1
Atego (ATP),Atego (ATP)_28,30B,8526.0,8852.0,326.0,2
Accelo,Accelo_31,30A,8856.0,9109.0,253.0,1
Atego (ATP),Atego (ATP)_28,31B,8852.0,9182.0,330.0,2
Accelo,Accelo_12,32A,4336.0,9247.0,4911.0,1
Actros,Actros_21,32B,7761.0,9328.0,1567.0,2
Accelo,Accelo_4,38,8347.0,9368.0,1021.0,1
Accelo,Accelo_31,31A,9109.0,9425.0,316.0,1
Atego,Atego_32,30A,9186.0,9500.0,314.0,1
Atego,Atego_32,31A,9500.0,9814.0,314.0,1
Accelo,Accelo_7,34A,8454.0,9930.0,1476.0,1
Actros,Actros_15,33B,7398.0,9984.0,2586.0,2
Atego,Atego_10,32C,7045.0,10026.0,2981.0,1
Accelo,Accelo_35,30A,9846.0,10099.0,253.0,1
Atego (ATP),Atego (ATP)_3,32D,6433.0,10137.0,3704.0,2
Atego,Atego_9,33A,8446.5,10218.0,1771.5,1
Actros,Actros_33,30B,9516.0,10268.0,752.0,2
Accelo,Accelo_13,32A,4652.0,10315.0,5663.0,1
Accelo,Accelo_35,31A,10099.0,10415.0,316.0,1
Atego (ATP),Atego (ATP)_22,32B,8091.0,10605.0,2514.0,2
Actros,Actros_33,31B,10268.0,10823.0,555.0,2
Accelo,Accelo_7,38,9930.0,10951.0,1021.0,1
Actros,Actros_36,30B,10268.0,11020.0,752.0,2
Accelo,Accelo_14,32A,4968.0,11383.0,6415.0,1
Atego (ATP),Atego (ATP)_2,33B,8051.0,11472.0,3421.0,2
Actros,Actros_36,31B,11020.0,11575.0,555.0,2
Atego,Atego_11,32C,8179.0,11605.5,3426.5,1
Atego,Atego_38,30A,11350.0,11664.0,314.0,1
Atego,Atego_9,34A,10218.0,11684.5,1466.5,1
Actros,Actros_37,30B,11020.0,11772.0,752.0,2
Atego (ATP),Atego (ATP)_24,32B,8522.0,11882.0,3360.0,2
Atego,Atego_38,31A,11664.0,11978.0,314.0,1
Atego,Atego_10,33A,10026.0,11982.0,1956.0,1
Atego,Atego_40,30A,11680.0,11994.0,314.0,1
Accelo,Accelo_41,30A,12010.0,12263.0,253.0,1
Atego,Atego_40,31A,11994.0,12308.0,314.0,1
Actros,Actros_37,31B,11772.0,12327.0,555.0,2
Accelo,Accelo_16,32A,5611.0,12451.0,6840.0,1
Accelo,Accelo_41,31A,12263.0,12624.0,361.0,1
Atego (ATP),Atego (ATP)_42,30B,12340.0,12666.0,326.0,2
Atego (ATP),Atego (ATP)_22,32D,10605.0,12691.0,2086.0,2
Atego,Atego_9,38,11684.5,12705.5,1021.0,1
Accelo,Accelo_43,30A,12670.0,12923.0,253.0,1
Atego (ATP),Atego (ATP)_42,31B,12666.0,12996.0,330.0,2
Atego (ATP),Atego (ATP)_28,32B,9182.0,13159.0,3977.0,2
Accelo,Accelo_12,32C,9247.0,13184.5,3937.5,1
Accelo,Accelo_43,31A,12923.0,13239.0,316.0,1
Atego,Atego_10,34A,11982.0,13448.5,1466.5,1
Accelo,Accelo_19,32A,5941.0,13519.0,7578.0,1
Atego,Atego_45,30A,13330.0,13644.0,314.0,1
Actros,Actros_0,34B,5133.0,13657.0,8524.0,2
Atego,Atego_11,33A,11605.5,13746.0,2140.5,1
Actros,Actros_44,30B,13000.0,13752.0,752.0,2
Atego,Atego_45,31A,13644.0,13958.0,314.0,1
Actros,Actros_20,33B,8363.0,14003.0,5640.0,2
Actros,Actros_33,32B,10823.0,14124.0,3301.0,2
Actros,Actros_44,31B,13752.0,14307.0,555.0,2
Accelo,Accelo_48,30A,14082.0,14335.0,253.0,1
Atego,Atego_10,38,13448.5,14469.5,1021.0,1
Actros,Actros_47,30B,13752.0,14504.0,752.0,2
Accelo,Accelo_23,32A,8105.0,14587.0,6482.0,1
Accelo,Accelo_48,31A,14335.0,14651.0,316.0,1
Atego (ATP),Atego (ATP)_1,34B,7453.0,14679.0,7226.0,2
Atego,Atego_50,30A,14412.0,14726.0,314.0,1
Accelo,Accelo_13,32C,10315.0,14763.5,4448.5,1
Atego (ATP),Atego (ATP)_24,32D,11882.0,14777.0,2895.0,2
Atego,Atego_50,31A,14726.0,15040.0,314.0,1
Atego,Atego_51,30A,14742.0,15056.0,314.0,1
Actros,Actros_47,31B,14504.0,15059.0,555.0,2
Actros,Actros_36,32B,11575.0,15089.0,3514.0,2
Atego,Atego_11,34A,13746.0,15212.5,1466.5,1
Accelo,Accelo_52,30A,15072.0,15325.0,253.0,1
Accelo,Accelo_12,33A,13184.5,15329.0,2144.5,1
Atego,Atego_51,31A,15056.0,15370.0,314.0,1
Accelo,Accelo_25,32A,8765.0,15655.0,6890.0,1
Accelo,Accelo_53,30A,15402.0,15655.0,253.0,1
Accelo,Accelo_52,31A,15325.0,15686.0,361.0,1
Actros,Actros_0,39,13657.0,15781.0,2124.0,2
Accelo,Accelo_54,30A,15732.0,15985.0,253.0,1
Accelo,Accelo_53,31A,15655.0,16002.0,347.0,1
Actros,Actros_37,32B,12327.0,16054.0,3727.0,2
Atego,Atego_11,38,15212.5,16233.5,1021.0,1
Accelo,Accelo_54,31A,15985.0,16318.0,333.0,1
Accelo,Accelo_14,32C,11383.0,16342.5,4959.5,1
Actros,Actros_21,33B,9328.0,16534.0,7206.0,2
Accelo,Accelo_57,30A,16392.0,16645.0,253.0,1
Atego (ATP),Atego (ATP)_1,39,14679.0,16705.0,2026.0,2
Accelo,Accelo_31,32A,9425.0,16723.0,7298.0,1
Accelo,Accelo_12,34A,15329.0,16805.0,1476.0,1
Actros,Actros_55,30B,16062.0,16814.0,752.0,2
Atego (ATP),Atego (ATP)_28,32D,13159.0,16863.0,3704.0,2
Accelo,Accelo_13,33A,14763.5,16912.0,2148.5,1
Accelo,Accelo_57,31A,16645.0,16961.0,316.0,1
Accelo,Accelo_58,30A,16722.0,16975.0,253.0,1
Accelo,Accelo_58,31A,16975.0,17291.0,316.0,1
Atego (ATP),Atego (ATP)_42,32B,12996.0,17331.0,4335.0,2
Actros,Actros_55,31B,16814.0,17369.0,555.0,2
Actros,Actros_59,30B,17052.0,17804.0,752.0,2
Accelo,Accelo_12,38,16805.0,17826.0,1021.0,1
Atego,Atego_32,32A,9814.0,17857.0,8043.0,1
Accelo,Accelo_16,32C,12451.0,17921.5,5470.5,1
Atego (ATP),Atego (ATP)_3,33B,10137.0,18022.0,7885.0,2
Atego (ATP),Atego (ATP)_60,30B,17804.0,18130.0,326.0,2
Actros,Actros_44,32B,14307.0,18296.0,3989.0,2
Actros,Actros_59,31B,17804.0,18359.0,555.0,2
Accelo,Accelo_13,34A,16912.0,18388.0,1476.0,1
Atego,Atego_61,30A,18134.0,18448.0,314.0,1
Accelo,Accelo_14,33A,16342.5,18495.0,2152.5,1
Atego (ATP),Atego (ATP)_60,31B,18130.0,18689.0,559.0,2
Atego,Atego_61,31A,18448.0,18762.0,314.0,1
Atego (ATP),Atego (ATP)_63,30B,18464.0,18790.0,326.0,2
Accelo,Accelo_35,32A,10415.0,18925.0,8510.0,1
Atego,Atego_65,30A,18794.0,19108.0,314.0,1
Atego (ATP),Atego (ATP)_63,31B,18790.0,19120.0,330.0,2
Actros,Actros_47,32B,15059.0,19261.0,4202.0,2
Accelo,Accelo_69,30A,19124.0,19377.0,253.0,1
Accelo,Accelo_13,38,18388.0,19409.0,1021.0,1
Atego (ATP),Atego (ATP)_42,32D,17331.0,19417.0,2086.0,2
Atego,Atego_65,31A,19108.0,19422.0,314.0,1
Accelo,Accelo_19,32C,13519.0,19500.5,5981.5,1
Atego (ATP),Atego (ATP)_22,33B,12691.0,19510.0,6819.0,2
Accelo,Accelo_69,31A,19377.0,19738.0,361.0,1
Accelo,Accelo_14,34A,18495.0,19971.0,1476.0,1
Accelo,Accelo_71,30A,19784.0,20037.0,253.0,1
Atego,Atego_38,32A,11978.0,20059.0,8081.0,1
Accelo,Accelo_16,33A,17921.5,20078.0,2156.5,1
Actros,Actros_70,30B,19454.0,20206.0,752.0,2
Actros,Actros_55,32B,17369.0,20226.0,2857.0,2
Accelo,Accelo_71,31A,20037.0,20353.0,316.0,1
Accelo,Accelo_72,30A,20114.0,20367.0,253.0,1
Accelo,Accelo_72,31A,20367.0,20683.0,316.0,1
Actros,Actros_70,31B,20206.0,20761.0,555.0,2
Atego (ATP),Atego (ATP)_73,30B,20444.0,20770.0,326.0,2
Accelo,Accelo_14,38,19971.0,20992.0,1021.0,1
Accelo,Accelo_23,32C,14587.0,21079.5,6492.5,1
Atego (ATP),Atego (ATP)_73,31B,20770.0,21100.0,330.0,2
Actros,Actros_59,32B,18359.0,21191.0,2832.0,2
Atego,Atego_40,32A,12308.0,21193.0,8885.0,1
Actros,Actros_74,30B,20774.0,21526.0,752.0,2
Accelo,Accelo_16,34A,20078.0,21554.0,1476.0,1
Accelo,Accelo_19,33A,19500.5,21661.0,2160.5,1
Atego (ATP),Atego (ATP)_75,30B,21526.0,21852.0,326.0,2
Actros,Actros_33,33B,14124.0,22041.0,7917.0,2
Actros,Actros_74,31B,21526.0,22081.0,555.0,2
Atego (ATP),Atego (ATP)_76,30B,21856.0,22182.0,326.0,2
Accelo,Accelo_41,32A,12624.0,22261.0,9637.0,1
Atego (ATP),Atego (ATP)_75,31B,21852.0,22411.0,559.0,2
Atego (ATP),Atego (ATP)_60,32B,18689.0,22468.0,3779.0,2
Atego,Atego_77,30A,22186.0,22500.0,314.0,1
Accelo,Accelo_16,38,21554.0,22575.0,1021.0,1
