Linha;DescrLinha;Ordem;familia;Variante;Cleópatra;SerieVeiculo;Baumuster;Denominação;SAT-2;SAT;DTFLI;Prev_data;Previsão DTFLI;Data Saida;FZ;NP;NPed;AFAB;CEREP;Kanban;ST_;CodCor;CodPais;Pais;PropostaConf;DTplan;Motorizacao;Previsão ENTLIN;familia;SAT
 H;Prédio 40;0;ATEGO;QVV17211583C;;ATEGO 1721 E5;C9515011266;1721/36 ATEGO 4X2;11-mar-25;13-mar-25;;;Bloqueado ;Bloqueado ;415583;103524590;2477173467;1577101007;771;209399;B;9147;771;ARGENTINA;25090;16-jul-25;EURO V;Bloqueado ;ATEGO;13-mar-25
 H;Prédio 40;0;ATEGO;QVV17269747C;;ATEGO 1726;C9515011222;1726/42 ATEGO 4X2 EURO5;17-mar-25;19-mar-25;;;Bloqueado ;Bloqueado ;415587;103524930;2477173930;1577150000;771;209403;B;9147;771;ARGENTINA;25090;16-jul-25;;Bloqueado ;ATEGO;19-mar-25
 H;Prédio 40;0;ATEGO;QVV19332652T;;ATEGO 1933LS E5;C9684031236;1933LS/36 ATEGO 4X2 EURO5;03-jul-25;07-jul-25;;;Bloqueado ;Bloqueado ;431086;103624846;2577758492;1577781223;777;219059;B;9147;777;CHILE;25185;16-jul-25;;Bloqueado ;ATEGO;07-jul-25
 H;Prédio 40;0;AXOR;QVV20380133T;;AXOR 2038;C96845012;2038S/36 AXOR 4X2;07-jul-25;10-jul-25;;;Bloqueado ;Bloqueado ;431957;103627675;2500242967;1577508074;2;219559;B;9304;BRA;BRASIL;25192;16-jul-25;EURO VI;Bloqueado ;AXOR;10-jul-25
 H;Prédio 40;1;ACCELO;QVV91700056T;;ACCELO 917;C9511021259;917/39 ACCELO 4X2;15-jul-25;17-jul-25;;15-jul-25;15/07/2025 - TA - 1 ;15/07/2025;432276;103633365;2500045576;1577541371;0;219787;M;9147;BRA;BRASIL;25195;15-jul-25;EURO VI;montado;ACCELO;17-jul-25
 H;Prédio 40;2;ACTROS;QVV25450475T;SIM;ACTROS 2545 6X2 SFTP;C9634251233;2545LS/33 ACTROS 6X2;15-jul-25;17-jul-25;;15-jul-25;15/07/2025 - TA - 2 ;15/07/2025;432267;103634426;2577180056;1577103709;771;219778;M;9147;771;ARGENTINA;25195;14-jul-25;EURO V;montado;ACTROS;17-jul-25
 H;Prédio 40;3;ATEGO;QVV17211598T;;ATEGO 1721 E5;C9515011268;1721/48 ATEGO 4X2 EURO5;16-jul-25;18-jul-25;;15-jul-25;15/07/2025 - TA - 3 ;15/07/2025;432278;103635066;2577179890;1577103555;771;219789;M;9147;771;ARGENTINA;25195;15-jul-25;EURO V;montado;ATEGO;18-jul-25
 H;Prédio 40;4;ATEGO;QVV31330596T;;ATEGO 3133 6X4;C96811412;3133/48 ATEGO ATP 6X4 EURO6;15-jul-25;17-jul-25;;15-jul-25;15/07/2025 - TA - 4 ;15/07/2025;432279;103634590;2500044193;1577508621;0;219790;M;9147;BRA;BRASIL;25195;15-jul-25;EURO VI;montado;ATEGO;17-jul-25
 H;Prédio 40;5;ATEGO;QVV17211598T;;ATEGO 1721 E5;C9515011268;1721/48 ATEGO 4X2 EURO5;16-jul-25;18-jul-25;;15-jul-25;15/07/2025 - TA - 5 ;15/07/2025;432280;103635031;2577179887;1577103552;771;219791;M;9147;771;ARGENTINA;25195;15-jul-25;EURO V;montado;ATEGO;18-jul-25
 H;Prédio 40;6;ACCELO;QVV11170068T;;ACCELO 1117;C9511041246;1117/46 ACCELO 4X2;15-jul-25;17-jul-25;;15-jul-25;15/07/2025 - TA - 6 ;15/07/2025;432282;103633535;2500048327;1577540910;0;219793;M;9147;BRA;BRASIL;25195;15-jul-25;EURO VI;montado;ACCELO;17-jul-25
